customer_id,first_name,last_name,age,phone_number,monthly_income,approved_limit,userid
82,Alec,Benitez,28,9179390750,226000,3600000,82
83,Alecia,Santiago,38,9381758869,118000,3200000,83
84,Aleen,Arias,21,9730406749,173000,2100000,84
85,Aleida,Mora,21,9137987756,297000,2000000,85
86,Aleisha,Vargas,30,9223519103,99000,1500000,86
87,Alejandra,Carmona,25,9445837880,283000,4500000,87
88,Alejandrina,Crespo,43,9751473139,153000,4000000,88
89,Alejandro,Roman,49,9128163265,254000,900000,89
90,Alena,Pastor,60,9894229042,188000,1100000,90
91,Alene,Soto,23,9739726730,117000,5000000,91
92,Alesha,Saez,69,9189519360,299000,4700000,92
93,Aleshia,Velasco,51,9421081778,40000,2500000,93
94,Alesia,Soler,36,9575328207,274000,2200000,94
95,Alessandra,Moya,25,9433928278,204000,1700000,95
96,Aleta,Esteban,59,9988557960,32000,2200000,96
97,Aletha,Parra,62,9359949074,82000,4200000,97
98,Alethea,Bravo,48,9166978798,128000,2300000,98
99,Alethia,Gallardo,26,9566370655,61000,5000000,99
100,Alex,Rojas,54,9188818547,126000,1600000,100
101,Alexa,Pardo,24,9323499370,220000,3000000,101
102,Alexander,Merino,25,9374095164,72000,2700000,102
103,Alexandra,Franco,28,9753274093,183000,3300000,103
104,Alexandria,Espinosa,56,9127076732,228000,2400000,104
105,Alexia,Lara,39,9532197189,270000,2200000,105
106,Alexis,Izquierdo,55,9735221602,210000,1100000,106
107,Alfonso,Rivas,60,9705098042,179000,1800000,107
108,Alfonzo,Rivera,43,9686191215,160000,2200000,108
109,Alfred,Silva,32,9181911447,83000,4100000,109
110,Alfreda,Casado,33,9496701237,82000,2100000,110
111,Alfredia,Arroyo,42,9507833646,254000,1600000,111
112,Alfredo,Redondo,62,9400932820,109000,3500000,112
113,Ali,Camacho,62,9418043666,133000,3300000,113
114,Alia,Vera,25,9825891714,286000,1400000,114
115,Alica,Rey,40,9622353299,56000,2600000,115
116,Alice,Otero,57,9651800595,295000,4800000,116
117,Alicia,Luque,55,9432594533,142000,3400000,117
118,Alida,Galan,65,9797193032,66000,2800000,118
119,Alina,Montes,38,9787338247,65000,1800000,119
120,Aline,Rios,56,9931069853,35000,3300000,120
121,Alisa,Sierra,49,9553301335,185000,2600000,121
122,Alise,Segura,47,9435660957,111000,3900000,122
123,Alisha,Carrillo,39,9358282814,296000,2200000,123
124,Alishia,Marcos,42,9602750181,66000,4700000,124
125,Alisia,Marti,32,9238590504,187000,2600000,125
126,Alison,Soriano,25,9271505723,298000,2200000,126
127,Alissa,Mendoza,50,9113529525,156000,2300000,127
128,Alita,Bernal,59,9466876139,80000,4200000,128
129,Alix,Robles,28,9147382619,82000,1500000,129
130,Aliza,Vila,54,9514797279,137000,2300000,130
131,Alla,Valero,67,9646696515,85000,1500000,131
132,Allan,Palacios,54,9712913338,62000,3800000,132
133,Alleen,Exposito,21,9877268337,226000,2000000,133
134,Allegra,Benito,60,9874514960,35000,3100000,134
135,Allen,Varela,69,9613876405,207000,3100000,135
136,Allena,Andres,42,9382806265,149000,3300000,136
137,Allene,Macias,66,9246753642,67000,3800000,137
138,Allie,Pereira,44,9445865951,38000,2000000,138
139,Alline,Guerra,33,9849527399,188000,2200000,139
140,Allison,Heredia,55,9108426917,117000,1800000,140
141,Allyn,Bueno,51,9151744928,145000,3500000,141
142,Allyson,Roldan,33,9332615028,126000,1100000,142
143,Alma,Mateo,38,9728766910,206000,4900000,143
144,Almeda,Villar,32,9974670955,160000,4700000,144
145,Almeta,Contreras,54,9710283227,254000,2700000,145
146,Alona,Miranda,58,9799331943,253000,4700000,146
147,Alonso,Guillen,70,9212915606,220000,1600000,147
148,Alonzo,Mateos,40,9449095187,93000,2000000,148
149,Alpha,Escudero,63,9969294698,149000,2800000,149
150,Alphonse,Aguilera,27,9722591656,157000,3100000,150
151,Alphonso,Casas,64,9141726068,250000,4800000,151
152,Alta,Menendez,34,9887886049,291000,4300000,152
153,Altagracia,Aparicio,62,9320321242,215000,3100000,153
154,Altha,Rivero,31,9475534315,52000,2700000,154
155,Althea,Estevez,29,9179384063,126000,1100000,155
156,Alton,Beltran,41,9337276177,189000,1100000,156
157,Alva,Padilla,59,9827444359,235000,4000000,157
158,Alvaro,Calderon,38,9323617366,197000,3400000,158
159,Alvera,Rico,51,9704581467,163000,1900000,159
160,Alverta,Gracia,31,9135078377,204000,1100000,160
161,Alvin,Galvez,69,9363267543,282000,2800000,161
162,Alvina,Abad,38,9451186595,135000,2800000,162
163,Alyce,Conde,29,9643464078,286000,2900000,163
164,Alycia,Salas,50,9316384637,129000,1500000,164
165,Alysa,Jurado,42,9201326304,58000,1800000,165
166,Alyse,Quintana,41,9481659601,47000,3300000,166
167,Alysha,Plaza,26,9641961065,142000,2500000,167
168,Alysia,Acosta,27,9380264639,194000,4800000,168
169,Alyson,Aranda,45,9525136195,178000,3800000,169
170,Alyssa,Blazquez,22,9964508328,111000,3000000,170
171,Amada,Bermudez,63,9521112531,138000,3800000,171
172,Amado,Roca,35,9889502231,260000,800000,172
173,Amal,Salazar,44,9401771136,222000,4600000,173
174,Amalia,Costa,40,9882495478,183000,3900000,174
175,Amanda,Santamaria,22,9732443173,207000,2300000,175
176,Amber,Miguel,69,9910185838,107000,2400000,176
177,Amberly,Guzman,57,9800339036,137000,2800000,177
178,Ambrose,Serra,23,9189346724,134000,2700000,178
179,Amee,Villanueva,65,9434796450,50000,1500000,179
180,Amelia,Manzano,33,9462575278,189000,4100000,180
181,America,Cuesta,56,9213807132,288000,3900000,181
182,Ami,Tomas,57,9942105069,61000,2100000,182
183,Amie,Hurtado,28,9220299612,294000,2100000,183
184,Amiee,Rueda,43,9282430141,106000,4300000,184
185,Amina,Trujillo,26,9117895864,154000,4500000,185
186,Amira,Avila,22,9766809898,117000,4400000,186
187,Ammie,Pacheco,39,9285592769,34000,4900000,187
188,Amos,Simon,26,9229411461,107000,3300000,188
189,Amparo,De La Fuente,36,9904125266,197000,4200000,189
190,Amy,Pons,21,9525562036,264000,3700000,190
191,An,Lazaro,39,9878621805,218000,1200000,191
192,Ana,Mesa,65,9953004088,231000,2600000,192
193,Anabel,Sancho,49,9344895758,292000,1500000,193
194,Analisa,Del Rio,55,9847471634,240000,3800000,194
195,Anamaria,Escobar,65,9775138358,159000,4100000,195
196,Anastacia,Millan,69,9151416579,84000,4400000,196
197,Anastasia,Blasco,24,9700368897,165000,4500000,197
198,Andera,Alarcon,47,9233639894,35000,3300000,198
199,Anderson,Luna,50,9831106184,72000,4300000,199
200,Andra,Zamora,67,9512891717,132000,3700000,200
201,Andre,Castaño,59,9409193879,257000,1400000,201
202,Andrea,Salvador,66,9230856699,160000,1900000,202
203,Andreas,Bermejo,39,9404295289,127000,1600000,203
204,Andree,Paredes,64,9546474790,50000,4700000,204
205,Andres,Anton,46,9423711581,61000,4000000,205
206,Andrew,Ballesteros,47,9286300384,101000,2100000,206
207,Andria,Valverde,66,9578800227,210000,4700000,207
208,Andy,Maldonado,21,9961709322,37000,2200000,208
209,Anette,Bautista,29,9792613387,284000,4700000,209
210,Angel,Valle,42,9975548297,129000,3400000,210
211,Angela,Ponce,54,9809832965,93000,1900000,211
212,Angele,Oliva,22,9907227554,243000,1700000,212
213,Angelena,Rodrigo,62,9717190489,240000,1900000,213
214,Angeles,Lorente,50,9545243694,285000,4200000,214
215,Angelia,Cordero,68,9630396318,38000,4700000,215
216,Angelic,Juan,68,9761418031,223000,2200000,216
217,Angelica,De La Cruz,24,9606056493,182000,1200000,217
218,Angelika,Mas,47,9317388805,34000,1900000,218
219,Angelina,Collado,54,9317060744,161000,4900000,219
220,Angeline,Murillo,27,9562423937,134000,2100000,220
221,Angelique,Pozo,30,9593407816,68000,1300000,221
222,Angelita,Montoya,20,9445413160,147000,2600000,222
223,Angella,Cuenca,36,9506339628,151000,1000000,223
224,Angelo,Cuevas,45,9632141575,176000,4800000,224
225,Angelyn,Martos,54,9363893652,185000,800000,225
226,Angie,Marco,20,9740153812,102000,4600000,226
227,Angila,Barroso,67,9348283339,192000,4800000,227
228,Angla,Ros,66,9525270367,120000,1200000,228
229,Angle,Quesada,32,9320289803,117000,2800000,229
230,Anglea,De La Torre,32,9209824831,172000,1400000,230
231,Anh,Barrera,69,9438790371,109000,1900000,231
232,Anibal,Ordoñez,42,9914415599,187000,4700000,232
233,Anika,Gimeno,31,9906529352,262000,4300000,233
234,Anisa,Alba,32,9992247608,138000,2300000,234
235,Anisha,Corral,51,9308349212,141000,2000000,235
236,Anissa,Puig,50,9651785037,240000,4800000,236
237,Anita,Cabello,64,9505917637,264000,4300000,237
238,Anitra,Pulido,54,9437880477,85000,3300000,238
239,Anja,Rojo,38,9831684307,231000,1300000,239
240,Anjanette,Navas,39,9881414926,126000,1100000,240
241,Anjelica,Saiz,29,9993219098,72000,3200000,241
242,Ann,Arenas,21,9114155672,81000,4400000,242
243,Anna,Aguado,49,9999757819,111000,2500000,243
244,Annabel,Soria,48,9490132408,250000,2900000,244
245,Annabell,Domingo,53,9744129141,170000,3400000,245
246,Annabelle,Galindo,36,9527557533,175000,2500000,246
247,Annalee,Mena,64,9507039105,189000,2500000,247
248,Annalisa,Escribano,35,9235465741,54000,1300000,248
249,Annamae,Vallejo,20,9520954671,143000,1700000,249
250,Annamaria,Valencia,68,9120189951,165000,2600000,250
251,Annamarie,Asensio,43,9772698915,65000,4700000,251
252,Anne,Ramon,67,9486625000,45000,2400000,252
253,Anneliese,Lucas,23,9723576704,204000,3800000,253
254,Annelle,Caro,21,9828481296,266000,4400000,254
255,Annemarie,Polo,27,9166250716,250000,1500000,255
256,Annett,Chen,53,9167784356,221000,2800000,256
257,Annetta,Aguirre,35,9247752157,109000,3600000,257
258,Annette,Naranjo,60,9757972808,48000,4500000,258
259,Annice,Amador,49,9116409106,236000,1200000,259
260,Annie,Villalba,28,9836257121,82000,1700000,260
261,Annika,Mata,24,9691216518,209000,3200000,261
262,Annis,Reina,27,9298388045,112000,1700000,262
263,Annita,Paz,26,9102190008,57000,1000000,263
264,Annmarie,Moran,60,9480022732,98000,3900000,264
265,Anthony,Linares,30,9405972517,123000,1100000,265
266,Antione,Ojeda,56,9541658903,108000,1700000,266
267,Antionette,Leal,20,9228631557,212000,4300000,267
268,Antoine,Burgos,32,9213995694,58000,1900000,268
269,Antoinette,Carretero,62,9178620988,285000,4200000,269
270,Anton,Oliver,26,9956598054,227000,3200000,270
271,Antone,Bonilla,47,9345234695,260000,1800000,271
272,Antonetta,Sosa,40,9405872422,214000,4200000,272
273,Antonette,Roig,57,9518976383,115000,2700000,273
274,Antonia,Aragon,62,9547709205,215000,1200000,274
275,Antonietta,Carrion,44,9899647979,81000,5000000,275
276,Antonina,Clemente,28,9666830297,46000,1400000,276
277,Antonio,Villa,29,9984306813,214000,2900000,277
278,Antony,Castellano,40,9819261784,75000,3100000,278
279,Antwan,Cordoba,59,9443939782,116000,3500000,279
280,Anya,Carrera,50,9874876902,185000,1700000,280
281,Apolonia,Hernando,24,9887567962,217000,4100000,281
282,April,Rosa,56,9420633068,38000,1100000,282
283,Apryl,Andreu,56,9938512409,228000,2500000,283
284,Ara,Caceres,29,9697148952,135000,3600000,284
285,Araceli,Mohamed,30,9651985884,249000,2000000,285
286,Aracelis,Calero,33,9798534191,111000,3400000,286
287,Aracely,Cardenas,34,9492301818,250000,4500000,287
288,Arcelia,Cobo,53,9860490835,145000,2200000,288
289,Archie,Correa,21,9191616203,287000,3800000,289
290,Ardath,Juarez,25,9170005981,32000,2300000,290
291,Ardelia,Velazquez,30,9100608966,136000,2600000,291
292,Ardell,Alcaraz,21,9212845059,160000,3600000,292
293,Ardella,Chacon,51,9296412860,274000,2900000,293
294,Ardelle,Ferreira,25,9169200783,177000,3900000,294
295,Arden,Sola,69,9647665813,148000,4200000,295
296,Ardis,Domenech,56,9757942407,35000,1000000,296
297,Ardith,Zapata,40,9249491764,94000,2400000,297
298,Aretha,Riera,61,9124680892,188000,2900000,298
299,Argelia,Saavedra,30,9614182220,85000,4100000,299
300,Argentina,Toledo,46,9506356490,112000,5000000,300
